ticker,timestamp,outcome,outcome_binary,regime,pattern,confidence,rvol,score_norm,mtf_convergence,mtf_convergence_count,vwap_distance,vwap_side,or_range_pct,adx_norm,atr_pct,atr_ratio,is_or_signal,hour_norm,time_bucket_norm,resist_proximity
AAPL,2025-11-13 14:40:00,LOSS,0,BEAR,FVG,0.6233710869950763,2.0045551422322028,0.62,0.0,0.6666666666666666,0.007595427539300133,1.0,0.011299549852351182,0.8209555325564404,0.0023768660312632984,0.5343596568106218,1.0,0.6666666666666666,0.0,0.44153260836742936
AAPL,2025-11-13 18:10:00,LOSS,0,BEAR,FVG,0.95,26.074458472234262,0.95,0.0,0.3333333333333333,-0.0029039329096493434,-1.0,0.011299549852351182,0.11818559308424671,0.0015015195764395309,0.2542247096074977,0.0,0.8571428571428571,0.5,0.052171199927852636
AAPL,2025-11-17 20:55:00,WIN,1,BULL,BOS,0.7984751638242973,5.574862837883167,0.79,0.0,0.3333333333333333,-0.018420456612179236,-1.0,0.012986251148602702,0.7982134795342596,0.0017116274304475744,0.3950101184314661,0.0,0.9523809523809523,1.0,0.12377022246229837
AAPL,2025-11-18 14:30:00,LOSS,0,BEAR,FVG,0.8647577984090973,6.198191466432512,0.86,1.0,1.0,-0.012122252189781168,-1.0,0.0063182147440824996,1.0323215005831445,0.0024720089764287013,0.5503831739010981,1.0,0.6666666666666666,0.0,0.7766106207247522
AAPL,2025-11-20 14:30:00,WIN,1,BULL,FVG,0.6394750698937727,3.6788071135910045,0.63,1.0,1.0,0.004119424005093158,1.0,0.010411153193949564,0.3702314280948162,0.0030201975690316287,0.5997305683194604,1.0,0.6666666666666666,0.0,0.7329771651641184
AAPL,2025-11-21 14:30:00,LOSS,0,BULL,BOS,0.95,15.087392953878656,0.95,0.0,0.3333333333333333,-0.011931680809478715,-1.0,0.009211724309944548,0.3947135081986378,0.0026990316814338535,0.38919968507927144,1.0,0.6666666666666666,0.0,0.032267450531269094
AAPL,2025-11-24 14:30:00,LOSS,0,BULL,BOS,0.6011289309899145,3.1238311968897685,0.6,1.0,1.0,0.014235422180090268,1.0,0.016528980502953483,0.29958247430284013,0.003194744483196161,0.545646359945244,1.0,0.6666666666666666,0.0,1.0
AAPL,2025-11-24 18:05:00,WIN,1,BULL,FVG,0.6440448334773952,2.1615473850589564,0.64,1.0,1.0,0.015414408955824738,1.0,0.018360776653808048,0.9064497614963162,0.000992266149367329,0.24391188557259758,0.0,0.8571428571428571,0.5,0.19505866068410263
AAPL,2025-11-25 14:30:00,WIN,1,BULL,BOS,0.6103128773135956,3.069478753968496,0.61,1.0,1.0,0.024814838191886512,1.0,0.014712837751188534,0.3789262641011392,0.0025432003900722634,0.7239958087331343,1.0,0.6666666666666666,0.0,0.7364070724117308
AAPL,2025-11-26 14:30:00,LOSS,0,BULL,BOS,0.8786966339739659,7.593136285830342,0.87,0.0,0.6666666666666666,0.023253100651233326,1.0,0.007508870258427937,0.6602654645496584,0.0018421862094193675,0.5497856147262837,1.0,0.6666666666666666,0.0,0.34099015765895085
AAPL,2025-11-26 20:00:00,LOSS,0,BULL,FVG,0.5990693867639627,2.3770500801833534,0.59,0.0,0.6666666666666666,0.023641397113459316,1.0,0.00790605834916419,0.5347792183652997,0.0009441424786063783,0.2689874229852386,0.0,0.9523809523809523,1.0,0.5885766151164692
AAPL,2025-11-28 17:50:00,LOSS,0,BEAR,FVG,0.6199654387067088,3.267467935333301,0.61,1.0,1.0,0.021227976184490224,1.0,0.00800783120986974,0.37728027960029137,0.0012058896024959886,0.3835775583631366,0.0,0.8095238095238095,0.5,0.8733420241712877
AAPL,2025-11-28 17:55:00,LOSS,0,BEAR,FVG,0.7969142426023728,6.658983809391141,0.79,1.0,1.0,0.022361253358208974,1.0,0.00800783120986974,0.4264336808854381,0.0012761908863638937,0.4065366786382623,0.0,0.8095238095238095,0.5,0.25288494604233164
AAPL,2025-12-01 18:00:00,LOSS,0,BULL,BOS,0.6902070238333904,2.6063797452022266,0.69,1.0,1.0,0.026445208568329527,1.0,0.009478924459035214,1.0659202438218605,0.0012769203347361147,0.3172863204580598,0.0,0.8571428571428571,0.5,0.260753240353212
AAPL,2025-12-01 20:40:00,WIN,1,BEAR,BOS,0.6611331269154805,2.6784299471450543,0.66,1.0,1.0,0.033953115687957766,1.0,0.009478924459035214,0.8480775303881856,0.0010687516932073463,0.3396405438998406,0.0,0.9523809523809523,1.0,0.5300435106848026
AAPL,2025-12-01 20:55:00,WIN,1,BULL,BOS,0.9093960596553761,7.844274587829072,0.9,1.0,1.0,0.03674630052228316,1.0,0.009478924459035214,0.7812155350928164,0.0012189467438492882,0.3887615679144361,0.0,0.9523809523809523,1.0,0.47296767742278933
AAPL,2025-12-02 14:30:00,WIN,1,BULL,BOS,0.8024668709113212,5.423215728041896,0.8,1.0,1.0,0.037497924599172484,1.0,0.005715155679059226,0.8753738967281766,0.00157164081601695,0.4876013338294398,1.0,0.6666666666666666,0.0,0.13506989606775008
AAPL,2025-12-02 20:10:00,LOSS,0,BULL,BOS,0.95,55.725814196975534,0.95,1.0,1.0,0.04539626059567886,1.0,0.008525544835787402,0.7155061810101317,0.0011643452911568341,0.33954717386624433,0.0,0.9523809523809523,1.0,0.08985385638862275
AAPL,2025-12-03 14:30:00,WIN,1,BEAR,BOS,0.6560434084862866,2.719361243385024,0.65,1.0,1.0,0.04772967248747726,1.0,0.008290100795239947,0.8005023087802364,0.0017359102205874858,0.48518041843671345,1.0,0.6666666666666666,0.0,0.5008055815497495
AAPL,2025-12-08 14:30:00,LOSS,0,BEAR,BOS,0.95,10.44744496170305,0.95,0.0,0.3333333333333333,0.012696799410836103,1.0,0.006526428572160077,0.5687873260819002,0.00148395062129239,0.5138670784932006,1.0,0.6666666666666666,0.0,0.08450600435613574
AAPL,2025-12-08 20:15:00,WIN,1,BEAR,FVG,0.95,32.16906967390156,0.95,0.0,0.6666666666666666,0.00407847433263055,1.0,0.007967050893332515,0.972853513006162,0.0009419287181552629,0.2866157666066304,0.0,0.9523809523809523,1.0,0.14700467899053288
AAPL,2025-12-08 20:55:00,WIN,1,BULL,BOS,0.5788802363845765,2.2180015921109604,0.57,1.0,1.0,0.008197235995624727,1.0,0.007967050893332515,0.45320104519352283,0.0011633878838134362,0.39529660799050453,0.0,0.9523809523809523,1.0,0.2473802736345713
AAPL,2025-12-09 14:30:00,WIN,1,BULL,FVG,0.6121494941922628,2.5378404012569464,0.61,1.0,1.0,0.011574962390764217,1.0,0.0049510902807310825,0.5683831608627701,0.001441945690035035,0.48184191399334564,1.0,0.6666666666666666,0.0,0.7584138053076858
AAPL,2025-12-12 14:30:00,LOSS,0,BEAR,BOS,0.7318304737275152,5.3846814218777945,0.73,1.0,1.0,0.010895730548325586,1.0,0.007915882325243952,0.4173093508908359,0.0015850357337421574,0.555774583981029,1.0,0.6666666666666666,0.0,0.5353096959332447
AAPL,2025-12-15 20:50:00,WIN,1,BEAR,BOS,0.6587490685013266,3.3205453667856197,0.65,0.0,0.6666666666666666,-0.006833210362475564,-1.0,0.020332762230583702,0.6181453344136378,0.0012164954834629474,0.3314998990974512,0.0,0.9523809523809523,1.0,0.05998849877275376
AAPL,2025-12-17 14:30:00,LOSS,0,BEAR,BOS,0.8583956513441184,6.452120629739417,0.85,1.0,1.0,-0.00036629399065071626,-1.0,0.0045742033005438006,0.9052641323809835,0.0018270099824320477,0.4630723199350509,1.0,0.6666666666666666,0.0,0.1587929493748729
AAPL,2025-12-19 20:55:00,LOSS,0,BULL,FVG,0.95,17.2922861939343,0.95,1.0,1.0,-0.005928978058915877,-1.0,0.005383431432058951,0.5700333195926217,0.002583884796008994,0.7330943075242905,0.0,0.9523809523809523,1.0,0.9097893956925641
AAPL,2025-12-24 14:30:00,WIN,1,BULL,FVG,0.8657939317714702,7.498824031144273,0.86,1.0,1.0,-0.004603799042978918,-1.0,0.004439193001891504,0.6056848680950435,0.001196720311453925,0.5145412707466819,1.0,0.6666666666666666,0.0,1.0
AAPL,2025-12-29 18:30:00,LOSS,0,BULL,BOS,0.95,10.390607669238369,0.95,0.0,0.6666666666666666,-0.004828006962958575,-1.0,0.007151105358918045,0.43210992453360964,0.0006404189484412494,0.31028253626557595,0.0,0.8571428571428571,0.5,0.17145481674391716
AAPL,2026-01-02 14:30:00,WIN,1,BULL,BOS,0.697448724829358,3.540524566373091,0.69,1.0,1.0,-0.006526348869086841,-1.0,0.0037012293335616053,0.80281664340469,0.0015454440281560855,0.5514589213251565,1.0,0.6666666666666666,0.0,0.3473884011374897
AAPL,2026-01-02 20:55:00,LOSS,0,BULL,BOS,0.7740447260057988,6.992216673781939,0.77,1.0,1.0,-0.014224712761413244,-1.0,0.01979188106031834,0.16289261544467862,0.0011076671037732525,0.293133695328264,0.0,0.9523809523809523,1.0,0.14437398628979314
