ticker,datetime,direction,entry,exit,stop,target,pnl,pnl_pct,exit_reason,bars_held,volume_ratio,breakeven_triggered
SPY,2026-02-17 05:15:00,short,680.13,680.13,680.4067857142857,679.7978571428572,0.0,0.0,stop_breakeven,16,3.0754756429019445,True
SPY,2026-02-17 05:31:00,short,679.98,679.98,680.1978571428572,679.7185714285715,0.0,0.0,stop_breakeven,1,4.197037171680451,True
SPY,2026-02-17 06:05:00,short,679.05,679.05,679.4089285714285,678.6192857142856,0.0,0.0,stop_breakeven,4,6.703857566765579,True
SPY,2026-02-17 07:21:00,short,679.71,679.71,680.1742857142857,679.1528571428572,0.0,0.0,stop_breakeven,7,3.9719120403368446,True
SPY,2026-02-17 07:29:00,short,679.38,679.38,679.8962499999999,678.7605000000001,0.0,0.0,stop_breakeven,1,4.897655519734458,True
SPY,2026-02-17 09:30:00,long,680.62,680.62,679.9309285714287,681.4468857142856,0.0,0.0,stop_breakeven,1,16.293868290127172,True
SPY,2026-02-17 09:31:00,long,681.39,680.5152142857144,680.5152142857144,682.4397428571427,-0.8747857142856219,-0.128382528990097,stop,1,8.077524060606805,False
SPY,2026-02-17 09:34:00,long,681.74,681.74,680.4259285714286,683.3168857142857,0.0,0.0,stop_breakeven,8,3.0544258333839176,True
SPY,2026-02-17 13:22:00,long,682.38,682.38,681.0767678571428,683.9438785714285,0.0,0.0,stop_breakeven,13,3.7160469325500065,True
SPY,2026-02-17 17:39:00,long,682.92,682.7529642857143,682.7529642857143,683.1204428571427,-0.16703571428570285,-0.024459045610862602,stop,1,3.887608580039,False
SPY,2026-02-17 19:13:00,long,682.31,682.31,681.925732142857,682.7711214285714,0.0,0.0,stop_breakeven,3,4.409219752349695,True
SPY,2026-02-18 04:32:00,long,686.71,686.71,686.4153571428571,687.0635714285715,0.0,0.0,stop_breakeven,15,6.702136044770237,True
SPY,2026-02-18 05:55:00,short,686.22,686.5057142857142,686.5057142857142,685.8771428571429,-0.28571428571422075,-0.04163596014604948,stop,5,3.696467925427363,False
SPY,2026-02-18 06:32:00,short,685.65,685.65,685.9607142857143,685.2771428571428,0.0,0.0,stop_breakeven,9,3.093385214007782,True
SPY,2026-02-18 06:50:00,long,685.75,685.5535714285714,685.5535714285714,685.9857142857143,-0.1964285714285552,-0.028644341440547602,stop,2,4.814633881561092,False
SPY,2026-02-18 07:01:00,long,685.84,685.84,685.5685714285714,686.1657142857143,0.0,0.0,stop_breakeven,1,4.642277279915656,True
SPY,2026-02-18 07:02:00,long,686.07,686.4535714285715,685.7503571428572,686.4535714285715,0.38357142857148574,0.05590849746694736,target,5,5.149865485045102,True
SPY,2026-02-18 07:29:00,short,685.31,685.31,685.7439285714286,684.7892857142856,0.0,0.0,stop_breakeven,1,3.7442240705196554,True
SPY,2026-02-18 08:30:00,long,685.75,685.2662678571428,685.2662678571428,686.3304785714286,-0.4837321428572068,-0.0705405968439237,stop,4,3.9378046268964098,False
SPY,2026-02-18 09:29:00,short,684.03,684.03,684.52225,683.4393,0.0,0.0,stop_breakeven,1,3.929690153602295,True
SPY,2026-02-18 09:30:00,short,683.13,683.86675,683.86675,682.2459,-0.7367500000000291,-0.10784916487345442,stop,1,17.921666363063697,False
SPY,2026-02-18 11:53:00,short,687.79,687.79,688.3685535714285,687.0957357142856,0.0,0.0,stop_breakeven,9,3.9887305814773484,True
SPY,2026-02-18 13:27:00,short,687.76,687.76,688.268,687.1504,0.0,0.0,stop_breakeven,2,3.4325983305922554,True
SPY,2026-02-18 18:00:00,long,686.1415,686.1415,685.984482142857,686.3299214285714,0.0,0.0,stop_breakeven,1,4.420828905419767,True
SPY,2026-02-18 18:01:00,long,686.2888,686.504542857143,686.1090142857142,686.504542857143,0.21574285714291364,0.0314361617358339,target,5,4.696099657974834,True
SPY,2026-02-18 18:03:00,long,686.38,686.6362428571429,686.1664642857143,686.6362428571429,0.25624285714286543,0.03733250635841159,target,4,3.554204557065495,True
SPY,2026-02-18 18:57:00,short,686.12,686.12,686.3737678571429,685.8154785714286,0.0,0.0,stop_breakeven,6,5.11153952079317,True
SPY,2026-02-18 19:10:00,short,685.8,685.4421,686.0982499999999,685.4421,0.35789999999997235,0.05218722659667139,target,15,4.387013406557906,True
SPY,2026-02-18 19:25:00,short,685.49,685.8269285714287,685.8269285714287,685.0856857142857,-0.3369285714286434,-0.04915149330094434,stop,8,11.139585267718973,False
SPY,2026-02-19 04:36:00,short,685.14,684.5185714285714,685.6578571428571,684.5185714285714,0.6214285714286234,0.09070096205572926,target,10,4.435264129383844,True
SPY,2026-02-19 06:10:00,long,684.56,684.2099999999999,684.2099999999999,684.98,-0.35000000000002274,-0.05112773168166747,stop,6,5.584718576844561,False
SPY,2026-02-19 06:50:00,short,684.14,684.14,684.4364285714286,683.7842857142857,0.0,0.0,stop_breakeven,1,8.168464838164565,True
SPY,2026-02-19 06:59:00,long,684.71,684.3117857142857,684.3117857142857,685.1878571428572,-0.39821428571428896,-0.05815809404189934,stop,2,4.403040496264908,False
SPY,2026-02-19 07:25:00,long,685.3,684.9348214285715,684.9348214285715,685.7382142857142,-0.365178571428487,-0.05328740280584955,stop,5,3.9132964794879257,False
SPY,2026-02-19 08:00:00,long,687.03,687.03,685.9216964285714,688.3599642857143,0.0,0.0,stop_breakeven,1,11.796834080195543,True
SPY,2026-02-19 08:24:00,short,683.689,684.33,686.5470892857142,680.2592928571429,-0.6410000000000764,-0.09375607915295937,timeout,30,3.4070398927254444,False
SPY,2026-02-19 08:30:00,short,683.469,683.469,684.837892857143,681.8263285714286,0.0,0.0,stop_breakeven,9,4.9836547891467795,True
SPY,2026-02-19 09:36:00,short,682.91,683.9939464285713,683.9939464285713,681.6092642857143,-1.0839464285713802,-0.1587246384694001,stop,7,3.7526185160810224,False
SPY,2026-02-19 12:48:00,short,682.63,682.63,683.5258928571428,681.5549285714286,0.0,0.0,stop_breakeven,6,4.124073673482586,True
SPY,2026-02-19 15:59:00,long,684.52,685.4430357142857,683.7508035714286,685.4430357142857,0.9230357142856747,0.13484422869831045,target,18,3.6394999764064577,True
SPY,2026-02-19 19:11:00,long,685.035,684.6282857142857,684.6282857142857,685.5230571428572,-0.40671428571431534,-0.05937131470863757,stop,10,3.242923894946023,False
SPY,2026-02-20 05:02:00,short,686.05,686.2875,686.2875,685.7649999999999,-0.2375000000000682,-0.034618468041697874,stop,6,10.787543536160623,False
