id,name,filters,total_trades,wins,losses,win_rate,profit_factor,total_pnl,avg_win,avg_loss,t1_hit_rate,t2_hit_rate,t3_hit_rate,avg_max_profit_pct,median_max_profit_pct,stop_outs,t2_exits,timeouts
1,Current Winner,"['price_range', 'bollinger_position']",3683,897,2786,24.355145262014663,0.7490601617588759,-68757.50410421097,228.80986596850627,-98.34887073867952,32.14770567472169,21.39560141189248,0.0,0.14732674367682816,0.05769646641581834,2723,788,172
2,Triple Filter,"['price_range', 'rsi_threshold', 'bollinger_position']",2341,564,1777,24.092268261426742,0.7254959698915676,-47901.57227378798,224.46929569961915,-98.20048117522408,31.09782144382742,20.717642033319095,0.0,0.12696166339071618,0.04919292851653344,1735,485,121
3,ATR Variant,"['price_range', 'atr_threshold', 'bollinger_position']",492,141,351,28.65853658536585,0.8799494397088689,-3878.0979764018634,201.6012367637384,-92.0338243877179,31.300813008130078,21.747967479674795,0.0,0.4009935904986167,0.16671295626008115,315,107,70
6,Volume + Trend,"['price_range', 'volume_surge', 'trend_alignment']",3004,718,2286,23.901464713715047,0.7375431236610658,-59199.2325890324,231.69736526649874,-98.66926546385763,32.49001331557923,21.304926764314246,0.0,0.15525622255031601,0.058308908538471746,2242,640,122
