orb_minutes,atr_multiplier,volume_pct,fvg_min_pct,profit_r,trades,win_rate,avg_win,avg_loss,profit_factor,total_pnl,sharpe,max_drawdown
20,3.0,1.25,0.005,2.5,68,0.4118,2946.98,-1224.18,1.685,33547.98,4.465,-0.0679
5,1.0,1.25,0.003,3.0,136,0.3456,3945.06,-1364.45,1.527,63981.53,4.45,-0.1057
5,2.5,1.5,0.003,3.0,72,0.375,3631.0,-1260.7,1.728,41305.64,4.433,-0.0783
5,2.5,1.5,0.005,3.0,72,0.375,3631.0,-1260.7,1.728,41305.64,4.433,-0.0783
20,1.0,1.25,0.005,3.0,122,0.3525,4003.43,-1405.69,1.55,61097.67,4.423,-0.0956
20,1.0,1.5,0.005,3.0,95,0.3579,3783.04,-1322.07,1.595,47977.21,4.414,-0.1322
15,1.0,1.5,0.005,1.5,121,0.4959,1774.89,-1215.86,1.436,32325.74,4.412,-0.0772
15,1.0,1.0,0.002,1.5,199,0.4774,1765.4,-1183.43,1.363,44636.11,4.401,-0.101
5,3.0,1.25,0.001,3.0,77,0.3766,3762.99,-1326.26,1.714,45466.47,4.392,-0.0772
10,1.0,1.0,0.005,1.5,209,0.4785,1826.22,-1233.41,1.358,48180.4,4.39,-0.1106
10,2.5,1.0,0.001,2.5,84,0.4167,3148.64,-1330.19,1.691,45022.86,4.388,-0.132
10,2.5,1.0,0.002,2.5,84,0.4167,3148.64,-1330.19,1.691,45022.86,4.388,-0.132
10,2.5,1.0,0.003,2.5,84,0.4167,3148.64,-1330.19,1.691,45022.86,4.388,-0.132
10,2.5,1.0,0.005,2.5,84,0.4167,3148.64,-1330.19,1.691,45022.86,4.388,-0.132
20,2.5,1.0,0.003,2.5,81,0.4074,3030.97,-1262.22,1.651,39435.75,4.382,-0.1143
20,2.5,1.0,0.005,2.5,81,0.4074,3030.97,-1262.22,1.651,39435.75,4.382,-0.1143
15,1.0,1.5,0.002,3.0,102,0.3627,3954.18,-1399.63,1.608,55328.86,4.376,-0.1495
15,1.0,1.75,0.005,3.0,86,0.3721,3720.44,-1285.27,1.715,49649.32,4.37,-0.1146
5,1.0,1.0,0.003,3.0,161,0.3354,3911.48,-1335.44,1.478,68327.51,4.363,-0.1245
5,1.0,1.0,0.001,3.0,161,0.3354,3902.45,-1330.88,1.48,68328.25,4.347,-0.1224
15,1.0,1.5,0.001,1.5,129,0.4961,1794.36,-1229.69,1.437,34909.53,4.344,-0.0772
15,3.0,1.25,0.001,1.5,77,0.5325,1758.07,-1218.36,1.643,28220.01,4.343,-0.0779
15,3.0,1.25,0.002,1.5,77,0.5325,1758.07,-1218.38,1.643,28219.3,4.343,-0.0779
15,3.0,1.25,0.003,1.5,77,0.5325,1758.05,-1218.38,1.643,28218.38,4.343,-0.0779
15,3.0,1.25,0.005,1.5,77,0.5325,1758.05,-1218.38,1.643,28218.38,4.343,-0.0779
20,2.5,1.0,0.003,3.0,80,0.375,3772.2,-1326.41,1.706,46845.68,4.325,-0.1057
20,2.5,1.0,0.005,3.0,80,0.375,3772.2,-1326.41,1.706,46845.68,4.325,-0.1057
5,1.0,1.5,0.005,1.5,128,0.4922,1804.16,-1242.2,1.408,32918.98,4.317,-0.0772
5,1.0,1.25,0.002,3.0,137,0.3431,3925.53,-1357.39,1.51,62335.18,4.309,-0.1057
5,1.0,1.25,0.005,2.0,154,0.4221,2434.44,-1237.74,1.436,48079.24,4.296,-0.0865
20,1.0,1.25,0.001,3.0,123,0.3496,3983.88,-1397.71,1.532,59490.03,4.289,-0.0956
20,1.0,1.25,0.003,3.0,123,0.3496,3994.54,-1403.48,1.53,59486.65,4.285,-0.0967
5,1.0,1.25,0.001,3.0,138,0.3406,3930.31,-1362.7,1.49,60718.57,4.284,-0.1046
15,3.0,1.0,0.001,1.5,83,0.5301,1776.33,-1232.47,1.626,30092.44,4.27,-0.0962
15,3.0,1.0,0.002,1.5,83,0.5301,1776.33,-1232.47,1.626,30092.44,4.27,-0.0962
15,3.0,1.0,0.003,1.5,83,0.5301,1776.33,-1232.47,1.626,30092.44,4.27,-0.0962
15,3.0,1.0,0.005,1.5,83,0.5301,1776.33,-1232.47,1.626,30092.44,4.27,-0.0962
5,2.5,1.5,0.002,3.0,73,0.3699,3614.64,-1254.35,1.691,39895.26,4.266,-0.0783
20,1.0,1.5,0.003,3.0,96,0.3542,3774.36,-1319.83,1.568,46498.5,4.266,-0.1409
15,1.0,1.25,0.005,3.0,129,0.3488,4010.15,-1403.77,1.53,62539.9,4.264,-0.0967
20,3.0,1.25,0.001,2.5,69,0.4058,2932.13,-1216.58,1.646,32219.85,4.263,-0.0679
20,3.0,1.25,0.002,2.5,69,0.4058,2932.13,-1216.57,1.646,32220.02,4.263,-0.0679
5,2.5,1.5,0.002,2.5,73,0.3973,2877.99,-1180.95,1.606,31500.03,4.258,-0.0872
5,1.0,1.5,0.005,3.0,105,0.3619,4015.8,-1429.83,1.593,56801.78,4.256,-0.159
15,1.0,1.0,0.005,2.0,174,0.4138,2446.13,-1243.64,1.388,49269.78,4.243,-0.1149
15,1.0,1.5,0.003,1.5,122,0.4918,1770.7,-1213.54,1.412,31002.33,4.238,-0.0783
10,3.0,1.0,0.001,2.0,82,0.4634,2483.95,-1318.54,1.627,36374.16,4.237,-0.1143
10,3.0,1.0,0.002,2.0,82,0.4634,2483.95,-1318.54,1.627,36374.16,4.237,-0.1143
10,3.0,1.0,0.003,2.0,82,0.4634,2483.95,-1318.54,1.627,36374.16,4.237,-0.1143
10,3.0,1.0,0.005,2.0,82,0.4634,2483.95,-1318.54,1.627,36374.16,4.237,-0.1143
15,1.0,1.75,0.001,3.0,97,0.3608,3806.55,-1328.04,1.618,50890.55,4.237,-0.0972
5,1.0,1.0,0.002,3.0,162,0.3333,3890.49,-1328.18,1.465,66643.03,4.23,-0.1245
5,3.0,1.25,0.002,2.5,77,0.4026,2991.08,-1246.36,1.617,35391.13,4.227,-0.0772
5,3.0,1.25,0.003,2.5,77,0.4026,2991.08,-1246.36,1.617,35391.13,4.227,-0.0772
5,3.0,1.25,0.005,2.5,77,0.4026,2991.08,-1246.36,1.617,35391.13,4.227,-0.0772
15,1.0,1.5,0.002,1.5,124,0.4919,1777.41,-1218.75,1.412,31640.28,4.223,-0.0783
10,1.0,1.5,0.005,3.0,103,0.3592,3950.77,-1400.1,1.582,53771.89,4.218,-0.158
5,1.0,1.5,0.001,3.0,112,0.3571,4070.07,-1452.83,1.556,58199.38,4.215,-0.1338
5,2.0,1.5,0.001,3.0,83,0.3614,3657.95,-1268.87,1.632,42488.21,4.21,-0.0875
20,2.5,1.0,0.001,2.5,82,0.4024,3017.59,-1255.97,1.618,38037.76,4.204,-0.1143
20,2.5,1.0,0.002,2.5,82,0.4024,3017.59,-1255.97,1.618,38037.76,4.204,-0.1143
20,1.0,1.75,0.001,3.0,90,0.3556,3649.17,-1259.02,1.599,43750.24,4.192,-0.0789
15,1.5,1.5,0.003,3.0,82,0.3659,3676.53,-1276.56,1.662,43914.56,4.191,-0.1317
15,1.5,1.5,0.005,3.0,82,0.3659,3676.53,-1276.56,1.662,43914.56,4.191,-0.1317
20,2.5,1.0,0.001,3.0,81,0.3704,3755.15,-1319.2,1.674,45375.21,4.181,-0.1057
20,2.5,1.0,0.002,3.0,81,0.3704,3755.15,-1319.2,1.674,45375.21,4.181,-0.1057
15,2.5,1.0,0.001,2.5,82,0.4024,3027.76,-1262.69,1.615,38044.66,4.18,-0.1231
15,2.5,1.0,0.002,2.5,82,0.4024,3027.76,-1262.69,1.615,38044.66,4.18,-0.1231
15,2.5,1.0,0.003,2.5,82,0.4024,3027.76,-1262.69,1.615,38044.66,4.18,-0.1231
15,2.5,1.0,0.005,2.5,82,0.4024,3027.76,-1262.69,1.615,38044.66,4.18,-0.1231
10,3.0,1.25,0.002,2.5,74,0.4054,2995.15,-1251.74,1.631,34777.97,4.177,-0.0772
10,3.0,1.25,0.003,2.5,74,0.4054,2995.15,-1251.71,1.631,34779.51,4.177,-0.0772
10,3.0,1.25,0.005,2.5,74,0.4054,2995.15,-1251.71,1.631,34779.51,4.177,-0.0772
20,1.0,1.25,0.002,3.0,124,0.3468,3975.09,-1395.47,1.512,57895.64,4.154,-0.0967
5,2.5,1.5,0.001,2.5,77,0.4026,2952.85,-1220.02,1.631,35417.37,4.152,-0.0963
15,1.0,1.75,0.003,3.0,88,0.3636,3691.89,-1276.29,1.653,46668.19,4.151,-0.1235
5,2.0,1.0,0.001,3.0,103,0.3592,3909.18,-1376.96,1.592,53760.26,4.137,-0.1409
5,2.0,1.0,0.002,3.0,103,0.3592,3909.18,-1376.96,1.592,53760.26,4.137,-0.1409
5,2.0,1.0,0.003,3.0,103,0.3592,3909.18,-1376.96,1.592,53760.26,4.137,-0.1409
5,2.0,1.0,0.005,3.0,103,0.3592,3909.18,-1376.96,1.592,53760.26,4.137,-0.1409
10,1.0,1.0,0.003,1.5,211,0.4739,1810.53,-1223.64,1.333,45228.66,4.137,-0.1195
20,1.0,1.5,0.005,1.5,116,0.4914,1730.45,-1178.15,1.419,29124.61,4.136,-0.0772
5,1.0,1.75,0.005,3.0,91,0.3626,3742.93,-1301.03,1.637,48056.9,4.135,-0.1323
15,1.0,1.25,0.003,3.0,130,0.3462,4001.58,-1401.87,1.511,60912.33,4.134,-0.1057
5,1.5,1.5,0.005,3.0,86,0.3605,3714.74,-1296.76,1.615,43834.93,4.128,-0.1404
5,1.0,1.5,0.001,1.5,141,0.4894,1832.93,-1264.02,1.39,35463.32,4.123,-0.0837
20,1.0,1.5,0.001,1.5,122,0.4918,1748.83,-1192.22,1.42,31012.14,4.113,-0.0772
20,1.0,1.5,0.002,3.0,97,0.3505,3759.4,-1314.07,1.544,45033.43,4.112,-0.1409
10,1.0,1.0,0.001,1.5,211,0.4739,1806.17,-1219.69,1.334,45231.39,4.109,-0.1106
5,3.0,1.0,0.001,2.5,87,0.4023,3075.85,-1287.3,1.608,40715.11,4.099,-0.1102
5,3.0,1.0,0.002,2.5,87,0.4023,3075.85,-1287.3,1.608,40715.11,4.099,-0.1102
5,3.0,1.0,0.003,2.5,87,0.4023,3075.85,-1287.3,1.608,40715.11,4.099,-0.1102
5,3.0,1.0,0.005,2.5,87,0.4023,3075.85,-1287.3,1.608,40715.11,4.099,-0.1102
20,1.0,1.5,0.001,2.5,103,0.3883,3074.61,-1276.8,1.529,42546.21,4.089,-0.0964
15,2.5,1.0,0.001,3.0,81,0.3704,3769.25,-1327.37,1.67,45381.66,4.088,-0.1146
15,2.5,1.0,0.002,3.0,81,0.3704,3769.25,-1327.37,1.67,45381.66,4.088,-0.1146
15,2.5,1.0,0.003,3.0,81,0.3704,3769.25,-1327.37,1.67,45381.66,4.088,-0.1146
15,2.5,1.0,0.005,3.0,81,0.3704,3769.25,-1327.37,1.67,45381.66,4.088,-0.1146
20,1.5,1.5,0.001,2.5,88,0.3977,3012.32,-1247.76,1.594,39299.63,4.085,-0.1184
15,1.0,1.0,0.003,2.0,175,0.4114,2439.37,-1241.27,1.374,47783.34,4.07,-0.1237
15,1.0,1.0,0.001,2.0,175,0.4114,2434.13,-1237.65,1.375,47779.58,4.066,-0.1149
20,1.5,1.5,0.003,3.0,80,0.3625,3617.97,-1250.63,1.645,41138.88,4.062,-0.1317
20,1.5,1.5,0.005,3.0,80,0.3625,3617.97,-1250.63,1.645,41138.88,4.062,-0.1317
20,1.0,1.0,0.005,1.5,175,0.4743,1734.75,-1168.55,1.339,36477.61,4.06,-0.1228
15,1.5,1.5,0.001,2.5,92,0.4022,3090.67,-1289.26,1.613,43445.21,4.049,-0.1272
15,1.0,1.25,0.001,3.0,131,0.3435,3989.98,-1398.24,1.493,59300.0,4.045,-0.0967
10,2.5,1.0,0.001,3.0,83,0.3735,3859.68,-1373.17,1.676,48244.97,4.044,-0.1235
10,2.5,1.0,0.002,3.0,83,0.3735,3859.68,-1373.17,1.676,48244.97,4.044,-0.1235
10,2.5,1.0,0.003,3.0,83,0.3735,3859.68,-1373.17,1.676,48244.97,4.044,-0.1235
10,2.5,1.0,0.005,3.0,83,0.3735,3859.68,-1373.17,1.676,48244.97,4.044,-0.1235
5,1.0,1.5,0.003,3.0,107,0.3551,3991.9,-1420.33,1.548,53689.56,4.039,-0.1674
15,1.5,1.5,0.002,3.0,83,0.3614,3661.6,-1271.11,1.631,42479.0,4.038,-0.1317
5,1.0,1.25,0.003,2.0,156,0.4167,2415.42,-1229.25,1.404,45140.07,4.033,-0.0881
5,3.0,1.25,0.001,2.5,78,0.3974,2990.11,-1247.92,1.58,34041.44,4.029,-0.0772
5,1.5,1.5,0.003,3.0,87,0.3563,3698.47,-1290.4,1.587,42390.29,4.025,-0.1404
20,1.0,1.25,0.005,1.5,147,0.4762,1696.47,-1142.66,1.35,30768.08,4.023,-0.0956
5,1.0,1.5,0.002,1.5,132,0.4848,1798.56,-1238.26,1.367,30905.83,4.008,-0.0779
15,1.0,1.75,0.002,3.0,89,0.3596,3675.29,-1270.27,1.624,45203.8,4.005,-0.1235
15,3.0,1.25,0.001,2.0,73,0.4521,2373.01,-1243.02,1.575,28588.43,4.002,-0.078
15,3.0,1.25,0.002,2.0,73,0.4521,2372.99,-1243.02,1.575,28588.03,4.002,-0.078
10,3.0,1.25,0.002,1.5,80,0.525,1750.28,-1209.31,1.6,27557.86,4.0,-0.0779
10,3.0,1.25,0.003,1.5,80,0.525,1750.25,-1209.29,1.6,27557.56,4.0,-0.0779
10,3.0,1.25,0.005,1.5,80,0.525,1750.25,-1209.29,1.6,27557.56,4.0,-0.0779
15,1.0,1.25,0.002,3.0,131,0.3435,3982.65,-1394.39,1.495,59302.02,4.0,-0.1057
10,1.0,1.5,0.003,3.0,105,0.3524,3926.68,-1390.75,1.536,50715.86,3.997,-0.1664
15,1.0,1.25,0.001,1.5,159,0.478,1692.0,-1132.24,1.368,34616.16,3.995,-0.0956
