ticker,datetime,direction,entry,exit,stop,target,pnl,pnl_pct,exit_reason,bars_held,volume_ratio
SPY,2026-02-17 05:15:00,short,680.13,680.2960714285714,680.2960714285714,679.7978571428572,-0.16607142857139934,-0.02441760083681051,stop,2,3.0754756429019445
SPY,2026-02-17 05:31:00,short,679.98,679.7185714285715,680.1107142857143,679.7185714285715,0.26142857142849607,0.03844650893092386,target,9,4.197037171680451
SPY,2026-02-17 05:32:00,short,679.84,679.5592857142858,679.9803571428572,679.5592857142858,0.2807142857142253,0.04129122818813622,target,10,2.332950254473814
SPY,2026-02-17 05:42:00,short,679.36,679.5721428571429,679.5721428571429,678.9357142857143,-0.21214285714290781,-0.0312268689859438,stop,5,2.104371097234612
SPY,2026-02-17 06:05:00,short,679.05,679.265357142857,679.265357142857,678.6192857142856,-0.21535714285710128,-0.03171447505442917,stop,6,6.703857566765579
SPY,2026-02-17 06:23:00,short,678.92,679.1460714285714,679.1460714285714,678.467857142857,-0.22607142857145845,-0.03329868446524752,stop,3,2.9075891788364854
SPY,2026-02-17 06:27:00,long,679.37,679.8585714285714,679.1257142857143,679.8585714285714,0.48857142857139024,0.0719153669681308,target,3,2.371919675140457
SPY,2026-02-17 06:30:00,long,679.87,679.6,679.6,680.4100000000001,-0.2699999999999818,-0.03971347463485399,stop,4,2.2108172127911567
SPY,2026-02-17 06:56:00,long,680.02,679.7875,679.7875,680.485,-0.23249999999995907,-0.034190170877321124,stop,4,2.162784009203336
SPY,2026-02-17 07:21:00,short,679.71,679.1528571428572,679.9885714285715,679.1528571428572,0.5571428571428214,0.08196772993524024,target,9,3.9719120403368446
SPY,2026-02-17 07:29:00,short,679.38,678.7605000000001,679.68975,678.7605000000001,0.6194999999999027,0.09118608142716929,target,19,4.897655519734458
SPY,2026-02-17 07:30:00,short,679.26,678.6169285714286,679.5815357142857,678.6169285714286,0.6430714285713748,0.0946723535275704,target,18,2.6532973389895873
SPY,2026-02-17 09:30:00,long,680.62,681.4468857142856,680.2065571428572,681.4468857142856,0.826885714285595,0.12149006997819563,target,1,16.293868290127172
SPY,2026-02-17 09:31:00,long,681.39,680.8651285714286,680.8651285714286,682.4397428571427,-0.5248714285713731,-0.0770295173940582,stop,1,8.077524060606805
SPY,2026-02-17 09:34:00,long,681.74,680.9515571428572,680.9515571428572,683.3168857142857,-0.7884428571428543,-0.11565154709168514,stop,10,3.0544258333839176
SPY,2026-02-17 11:13:00,long,682.555,681.7008035714284,681.7008035714284,684.2633928571429,-0.8541964285715267,-0.12514690077305518,stop,16,2.062143508250508
SPY,2026-02-17 13:22:00,long,682.38,681.5980607142857,681.5980607142857,683.9438785714285,-0.7819392857143157,-0.1145900064061543,stop,4,3.7160469325500065
SPY,2026-02-17 13:40:00,long,684.0,683.9,683.3048571428571,685.3902857142857,-0.10000000000002274,-0.014619883040938995,timeout,30,2.145294218353454
SPY,2026-02-17 14:51:00,short,684.0,683.1558428571429,684.4220785714285,683.1558428571429,0.8441571428570569,0.12341478696740599,target,28,2.0154151199026846
SPY,2026-02-17 17:39:00,long,682.92,682.8197785714285,682.8197785714285,683.1204428571427,-0.10022142857144445,-0.01467542736652089,stop,1,3.887608580039
SPY,2026-02-17 18:02:00,short,682.33,681.8069928571429,682.5915035714286,681.8069928571429,0.5230071428571819,0.07665017555393752,target,2,2.7919162352856146
SPY,2026-02-17 19:01:00,long,681.97,681.7657535714286,681.7657535714286,682.3784928571429,-0.20424642857142317,-0.029949474107574113,stop,5,2.6843448073947047
SPY,2026-02-17 19:13:00,long,682.31,682.0794392857142,682.0794392857142,682.7711214285714,-0.23056071428572977,-0.033791196712012105,stop,10,4.409219752349695
SPY,2026-02-18 04:32:00,long,686.71,686.5332142857143,686.5332142857143,687.0635714285715,-0.1767857142857565,-0.025743867758698216,stop,18,6.702136044770237
SPY,2026-02-18 04:58:00,short,686.18,686.3492857142857,686.3492857142857,685.8414285714285,-0.1692857142857065,-0.024670744452724724,stop,4,2.1157094594594597
