ticker,timestamp,time_bucket,signal_type,entry,stop,risk,atr,volume_ratio,confidence,outcome,peak_r,actual_r,peak_price,bars_to_peak,time_to_peak_min,bars_to_exit,stopped_out
SPY,2025-12-12 12:09:00,MIDDAY (10:30-15:00),BUY,688.11,687.92,0.19,0.13,8.7,100,REVERSAL,3.11,1.55,688.7,1,1,1,False
SPY,2025-12-12 12:26:00,MIDDAY (10:30-15:00),BUY,688.35,688.21,0.14,0.1,3.41,100,STOP_OUT,0.36,-1.0,688.4,2,2,2,True
SPY,2025-12-12 12:42:00,MIDDAY (10:30-15:00),BUY,688.25,688.15,0.1,0.07,2.96,90,REVERSAL,0.6,0.3,688.31,0,0,0,False
SPY,2025-12-12 12:54:00,MIDDAY (10:30-15:00),BUY,688.52,688.29,0.23,0.16,5.49,100,REVERSAL,1.04,0.52,688.76,0,0,0,False
SPY,2025-12-12 13:14:00,MIDDAY (10:30-15:00),BUY,688.77,688.12,0.65,0.43,2.28,90,REVERSAL,0.62,0.31,689.17,32,32,32,False
SPY,2025-12-12 13:19:00,MIDDAY (10:30-15:00),BUY,688.77,688.55,0.22,0.15,4.1,100,REVERSAL,0.55,0.27,688.89,4,4,4,False
SPY,2025-12-12 13:36:00,MIDDAY (10:30-15:00),BUY,688.72,688.55,0.17,0.11,2.21,87,REVERSAL,2.65,1.32,689.17,10,10,10,False
SPY,2025-12-12 13:38:00,MIDDAY (10:30-15:00),BUY,688.67,688.49,0.18,0.12,2.44,83,REVERSAL,0.56,0.28,688.77,1,1,1,False
SPY,2025-12-12 13:55:00,MIDDAY (10:30-15:00),BUY,689.18,688.98,0.2,0.14,2.79,100,REVERSAL,1.0,0.5,689.38,1,1,1,False
SPY,2025-12-12 14:19:00,MIDDAY (10:30-15:00),BUY,688.97,688.78,0.19,0.13,8.1,100,STOP_OUT,0.21,-1.0,689.01,1,1,1,True
SPY,2025-12-12 14:25:00,MIDDAY (10:30-15:00),BUY,688.85,688.65,0.2,0.13,2.37,80,STOP_OUT,0.0,-1.0,688.85,0,0,0,True
SPY,2025-12-12 14:31:00,MIDDAY (10:30-15:00),BUY,688.47,688.09,0.38,0.25,4.0,100,STOP_OUT,0.0,-1.0,688.47,0,0,0,True
SPY,2025-12-12 15:58:00,CLOSE (15:00-16:00),SELL,681.63,682.43,0.8,0.53,5.52,100,STOP_OUT,0.4,-1.0,681.31,0,0,0,True
SPY,2025-12-16 09:49:00,MORNING (9:45-10:30),SELL,678.36,678.55,0.19,0.13,2.51,100,REVERSAL,1.63,0.82,678.05,0,0,0,False
SPY,2025-12-16 09:55:00,MORNING (9:45-10:30),SELL,677.8,678.01,0.21,0.14,4.35,100,STOP_OUT,0.38,-1.0,677.72,0,0,0,True
SPY,2025-12-16 10:15:00,MORNING (9:45-10:30),SELL,678.6,678.8,0.2,0.14,2.35,80,STOP_OUT,0.05,-1.0,678.59,0,0,0,True
SPY,2025-12-16 10:34:00,MIDDAY (10:30-15:00),SELL,678.92,679.05,0.13,0.09,6.46,100,STOP_OUT,0.15,-1.0,678.9,0,0,0,True
SPY,2025-12-16 10:54:00,MIDDAY (10:30-15:00),SELL,679.27,679.44,0.17,0.11,2.1,90,STOP_OUT,0.47,-1.0,679.19,1,1,1,True
SPY,2025-12-16 11:02:00,MIDDAY (10:30-15:00),SELL,679.31,679.47,0.16,0.1,4.88,100,REVERSAL,0.69,0.34,679.2,2,2,2,False
SPY,2025-12-16 11:30:00,MIDDAY (10:30-15:00),SELL,679.34,679.46,0.12,0.08,3.05,100,REVERSAL,1.0,0.5,679.22,0,0,0,False
SPY,2025-12-16 11:53:00,MIDDAY (10:30-15:00),SELL,680.03,680.15,0.12,0.08,2.22,90,STOP_OUT,0.33,-1.0,679.99,0,0,0,True
SPY,2025-12-16 12:00:00,MIDDAY (10:30-15:00),SELL,680.24,680.38,0.14,0.09,4.52,100,REVERSAL,0.93,0.46,680.11,0,0,0,False
SPY,2025-12-16 12:20:00,MIDDAY (10:30-15:00),SELL,680.65,680.84,0.19,0.12,2.09,80,REVERSAL,0.68,0.34,680.52,3,3,3,False
SPY,2025-12-16 12:36:00,MIDDAY (10:30-15:00),SELL,680.62,680.73,0.11,0.07,2.29,80,REVERSAL,0.64,0.32,680.55,0,0,0,False
SPY,2025-12-16 12:42:00,MIDDAY (10:30-15:00),SELL,680.59,680.76,0.17,0.11,6.4,100,REVERSAL,1.12,0.56,680.4,4,4,4,False
SPY,2025-12-16 12:57:00,MIDDAY (10:30-15:00),SELL,680.52,680.71,0.19,0.12,6.94,100,REVERSAL,0.74,0.37,680.38,0,0,0,False
SPY,2025-12-16 13:17:00,MIDDAY (10:30-15:00),SELL,680.07,680.44,0.37,0.25,2.28,90,REVERSAL,0.78,0.39,679.78,0,0,0,False
SPY,2025-12-16 13:34:00,MIDDAY (10:30-15:00),SELL,681.51,682.13,0.62,0.41,3.04,100,REVERSAL,0.76,0.38,681.04,0,0,0,False
SPY,2025-12-16 13:52:00,MIDDAY (10:30-15:00),SELL,679.55,680.13,0.58,0.39,2.01,90,REVERSAL,0.55,0.28,679.23,8,8,8,False
SPY,2025-12-16 14:01:00,MIDDAY (10:30-15:00),SELL,679.4,679.87,0.47,0.31,2.81,93,STOP_OUT,0.26,-1.0,679.28,1,1,1,True
SPY,2025-12-16 14:26:00,MIDDAY (10:30-15:00),SELL,679.57,679.93,0.36,0.24,2.82,100,REVERSAL,0.72,0.36,679.31,0,0,0,False
SPY,2025-12-16 14:32:00,MIDDAY (10:30-15:00),SELL,679.76,680.49,0.72,0.48,2.4,83,REVERSAL,0.58,0.29,679.34,0,0,0,False
SPY,2025-12-16 15:25:00,CLOSE (15:00-16:00),SELL,676.76,677.58,0.81,0.54,2.27,90,STOP_OUT,0.39,-1.0,676.44,1,1,1,True
SPY,2025-12-16 15:37:00,CLOSE (15:00-16:00),SELL,677.48,678.33,0.85,0.57,2.07,85,REVERSAL,0.52,0.26,677.04,1,1,1,False
