orb_minutes,atr_multiplier,volume_pct,fvg_min_pct,profit_r,trades,win_rate,avg_win,avg_loss,profit_factor,total_pnl,sharpe,max_drawdown
20,3.0,1.0,0.003,2.5,52,0.4038,2765.09,-1131.43,1.656,22992.7,4.553,-0.0772
20,3.0,1.0,0.005,2.5,52,0.4038,2765.09,-1131.43,1.656,22992.7,4.553,-0.0772
5,1.0,1.0,0.005,3.0,114,0.3333,3575.26,-1218.71,1.467,43238.07,4.525,-0.1157
5,1.0,1.25,0.005,3.0,91,0.3297,3415.2,-1163.61,1.443,31475.88,4.371,-0.0967
5,1.0,1.0,0.003,3.0,115,0.3304,3561.06,-1214.45,1.447,41807.92,4.36,-0.1245
5,1.0,1.0,0.001,3.0,115,0.3304,3550.36,-1209.18,1.449,41807.15,4.34,-0.1157
20,3.0,1.0,0.001,2.5,53,0.3962,2744.5,-1121.06,1.607,21760.51,4.282,-0.0772
20,3.0,1.0,0.002,2.5,53,0.3962,2744.5,-1121.06,1.607,21760.51,4.282,-0.0772
15,1.0,1.0,0.005,1.5,140,0.4643,1564.49,-1037.81,1.306,23856.55,4.241,-0.1003
5,1.0,1.0,0.002,3.0,116,0.3276,3536.36,-1205.03,1.43,40389.27,4.179,-0.1245
5,1.0,1.25,0.003,3.0,92,0.3261,3403.11,-1160.15,1.419,30163.72,4.157,-0.1057
15,3.0,1.0,0.001,2.5,53,0.3962,2760.39,-1131.33,1.601,21765.74,4.132,-0.0864
15,3.0,1.0,0.002,2.5,53,0.3962,2760.39,-1131.33,1.601,21765.74,4.132,-0.0864
15,3.0,1.0,0.003,2.5,53,0.3962,2760.39,-1131.33,1.601,21765.74,4.132,-0.0864
15,3.0,1.0,0.005,2.5,53,0.3962,2760.39,-1131.33,1.601,21765.74,4.132,-0.0864
15,1.0,1.0,0.003,1.5,141,0.461,1557.86,-1034.78,1.288,22617.49,3.991,-0.101
15,1.0,1.25,0.001,1.5,112,0.4643,1552.54,-1034.36,1.301,18670.06,3.954,-0.0956
15,1.0,1.0,0.001,1.5,141,0.461,1552.44,-1030.1,1.289,22620.69,3.949,-0.1003
20,3.0,1.25,0.003,3.0,42,0.3571,3248.34,-1109.87,1.626,18758.67,3.938,-0.0679
20,3.0,1.25,0.005,3.0,42,0.3571,3248.34,-1109.87,1.626,18758.67,3.938,-0.0679
5,1.0,1.25,0.002,3.0,93,0.3226,3379.26,-1151.11,1.398,28857.96,3.937,-0.1057
5,1.5,1.0,0.003,2.5,83,0.3735,2846.27,-1168.33,1.452,27481.53,3.896,-0.1103
5,1.5,1.0,0.005,2.5,83,0.3735,2846.27,-1168.33,1.452,27481.53,3.896,-0.1103
5,1.0,1.25,0.001,3.0,94,0.3191,3384.93,-1155.89,1.373,27571.07,3.888,-0.0967
15,1.0,1.25,0.005,1.5,109,0.4587,1542.45,-1030.01,1.269,16352.1,3.805,-0.0956
20,1.0,1.25,0.005,1.5,101,0.4554,1547.12,-1037.2,1.248,14121.51,3.728,-0.0824
15,1.0,1.0,0.002,1.5,142,0.4577,1545.85,-1027.02,1.271,21399.25,3.71,-0.1009
20,3.0,1.25,0.001,3.0,43,0.3488,3222.63,-1098.3,1.572,17587.22,3.673,-0.0679
20,3.0,1.25,0.002,3.0,43,0.3488,3222.63,-1098.3,1.572,17587.08,3.673,-0.0679
5,1.5,1.0,0.001,2.5,84,0.369,2827.28,-1159.12,1.427,26212.39,3.661,-0.1103
5,1.5,1.0,0.002,2.5,84,0.369,2827.28,-1159.12,1.427,26212.39,3.661,-0.1103
20,1.0,1.25,0.001,1.5,103,0.4563,1551.81,-1040.41,1.252,14671.82,3.659,-0.0824
5,2.0,1.5,0.001,3.0,53,0.3396,3323.04,-1144.99,1.493,19740.07,3.625,-0.0875
15,1.0,1.75,0.005,3.0,56,0.3393,3247.63,-1103.07,1.512,20891.44,3.551,-0.1146
20,1.0,1.5,0.005,1.5,76,0.4605,1565.8,-1055.8,1.266,11515.34,3.527,-0.0638
20,1.0,1.25,0.005,3.0,81,0.321,3436.44,-1186.71,1.369,24078.28,3.517,-0.0875
15,1.0,1.25,0.003,1.5,110,0.4545,1536.3,-1027.12,1.246,15187.7,3.512,-0.0956
15,1.0,1.25,0.005,3.0,87,0.3218,3462.83,-1195.03,1.375,26452.75,3.507,-0.0967
15,1.0,1.25,0.002,1.5,112,0.4554,1541.17,-1030.39,1.251,15745.59,3.483,-0.0956
15,1.0,1.0,0.005,3.0,103,0.3204,3439.65,-1175.14,1.38,31248.42,3.482,-0.1323
20,1.0,1.5,0.001,1.5,80,0.4625,1578.2,-1064.87,1.275,12604.08,3.436,-0.0592
10,2.5,1.0,0.001,1.5,65,0.4923,1656.2,-1134.04,1.416,15575.1,3.435,-0.1092
10,2.5,1.0,0.002,1.5,65,0.4923,1656.2,-1134.04,1.416,15575.1,3.435,-0.1092
10,2.5,1.0,0.003,1.5,65,0.4923,1656.2,-1134.04,1.416,15575.1,3.435,-0.1092
10,2.5,1.0,0.005,1.5,65,0.4923,1656.2,-1134.04,1.416,15575.1,3.435,-0.1092
