orb_minutes,atr_multiplier,volume_pct,fvg_min_pct,profit_r,trades,win_rate,avg_win,avg_loss,profit_factor,total_pnl,sharpe,max_drawdown
5,2.0,1.75,0.003,3.0,4,0.75,3077.4,-1060.25,8.708,8171.96,77.952,-0.01
10,2.0,1.75,0.003,3.0,4,0.75,3077.4,-1060.25,8.708,8171.96,77.952,-0.01
15,2.0,1.75,0.003,3.0,4,0.75,3077.4,-1060.25,8.708,8171.96,77.952,-0.01
20,2.0,1.25,0.003,3.0,4,0.75,3077.4,-1060.25,8.708,8171.96,77.952,-0.01
20,2.0,1.5,0.003,3.0,4,0.75,3077.4,-1060.25,8.708,8171.96,77.952,-0.01
20,2.0,1.75,0.003,3.0,4,0.75,3077.4,-1060.25,8.708,8171.96,77.952,-0.01
5,2.0,1.75,0.003,2.5,4,0.75,2552.76,-1049.41,7.298,6608.87,61.794,-0.01
10,2.0,1.75,0.003,2.5,4,0.75,2552.76,-1049.41,7.298,6608.87,61.794,-0.01
15,2.0,1.75,0.003,2.5,4,0.75,2552.76,-1049.41,7.298,6608.87,61.794,-0.01
20,2.0,1.25,0.003,2.5,4,0.75,2552.76,-1049.41,7.298,6608.87,61.794,-0.01
20,2.0,1.5,0.003,2.5,4,0.75,2552.76,-1049.41,7.298,6608.87,61.794,-0.01
20,2.0,1.75,0.003,2.5,4,0.75,2552.76,-1049.41,7.298,6608.87,61.794,-0.01
5,2.0,1.75,0.003,2.0,4,0.75,2030.89,-1038.56,5.866,5054.1,46.309,-0.01
10,2.0,1.75,0.003,2.0,4,0.75,2030.89,-1038.56,5.866,5054.1,46.309,-0.01
15,2.0,1.75,0.003,2.0,4,0.75,2030.89,-1038.56,5.866,5054.1,46.309,-0.01
20,2.0,1.25,0.003,2.0,4,0.75,2030.89,-1038.56,5.866,5054.1,46.309,-0.01
20,2.0,1.5,0.003,2.0,4,0.75,2030.89,-1038.56,5.866,5054.1,46.309,-0.01
20,2.0,1.75,0.003,2.0,4,0.75,2030.89,-1038.56,5.866,5054.1,46.309,-0.01
5,2.0,1.75,0.003,1.5,4,0.75,1516.8,-1027.71,4.428,3522.68,32.007,-0.01
10,2.0,1.75,0.003,1.5,4,0.75,1516.8,-1027.71,4.428,3522.68,32.007,-0.01
15,2.0,1.75,0.003,1.5,4,0.75,1516.8,-1027.71,4.428,3522.68,32.007,-0.01
20,2.0,1.25,0.003,1.5,4,0.75,1516.8,-1027.71,4.428,3522.68,32.007,-0.01
20,2.0,1.5,0.003,1.5,4,0.75,1516.8,-1027.71,4.428,3522.68,32.007,-0.01
