ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
IWM,2026-02-04,bear,A,0.65,264.65,263.29,0.517,262.57,262.69,0.046,262.63,264.9146,258.0607,254.6337,2026-02-04 09:52:00,2026-02-04 14:46:00,260.2928,STOP,2.2846,1.0,1,9,0.97,52
IWM,2026-02-05,bear,A,0.65,261.22,258.49,1.056,258.62,258.73,0.043,258.675,261.175,253.675,249.925,2026-02-05 10:15:00,2026-02-05 15:55:00,255.68,EOD,2.9433,1.18,1,10,1.75,15
IWM,2026-02-06,bull,A,0.65,261.95,259.58,0.913,261.36,261.81,0.172,261.585,259.3204,266.1142,269.511,2026-02-06 09:51:00,2026-02-06 15:55:00,265.44,EOD,3.8027,1.68,1,9,0.52,51
IWM,2026-02-09,bull,A,0.65,264.89,263.34,0.589,265.58,265.905,0.122,265.7425,263.2425,270.7425,274.4925,2026-02-09 10:15:00,2026-02-09 15:55:00,266.81,EOD,1.0144,0.41,1,10,0.69,15
IWM,2026-02-11,bear,A,0.65,268.96,267.3601,0.598,266.65,266.705,0.021,266.6775,269.1775,261.6775,257.9275,2026-02-11 09:48:00,2026-02-11 15:55:00,265.1,EOD,1.5242,0.61,1,9,0.49,48
IWM,2026-02-12,bear,A,0.65,267.46,266.08,0.519,265.51,265.78,0.102,265.645,267.7275,261.4801,258.3564,2026-02-12 09:45:00,2026-02-12 15:55:00,259.66,EOD,5.9319,2.85,1,9,0.96,45
IWM,2026-02-13,bull,A,0.65,261.58,258.51,1.188,261.99,262.12,0.05,262.055,259.555,267.055,270.805,2026-02-13 10:08:00,2026-02-13 15:55:00,262.86,EOD,0.7526,0.3,1,10,1.43,8
IWM,2026-02-17,bear,A,0.65,263.98,261.58,0.918,261.0,261.21,0.08,261.105,263.605,256.105,252.355,2026-02-17 09:50:00,2026-02-17 13:44:00,263.605,STOP,-2.5522,-1.02,0,9,1.47,50
IWM,2026-02-18,bull,A,0.65,265.015,261.85,1.209,265.8065,265.9,0.035,265.8533,263.3533,270.8533,274.6033,2026-02-18 09:53:00,2026-02-18 14:55:00,263.3533,STOP,-2.5532,-1.02,0,9,0.98,53
IWM,2026-02-19,bull,A,0.65,262.94,261.075,0.714,263.25,263.31,0.023,263.28,260.8139,268.2121,271.9113,2026-02-19 09:55:00,2026-02-19 15:55:00,264.44,EOD,1.1073,0.45,1,9,0.36,55
IWM,2026-02-20,bull,A,0.65,263.98,262.65,0.506,265.12,265.21,0.034,265.165,262.665,270.165,273.915,2026-02-20 10:01:00,2026-02-20 12:18:00,262.665,STOP,-2.553,-1.02,0,10,4.7,1
IWM,2026-02-24,bull,A,0.65,262.165,259.8566,0.888,262.2244,262.2753,0.019,262.2499,259.7499,267.2499,270.9999,2026-02-24 09:49:00,2026-02-24 10:30:00,263.868,EOD,1.5657,0.63,1,9,1.06,49
