ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
CMCSA,2026-02-20,bull,A,0.7,31.33,30.79,1.754,31.245,31.315,0.224,31.28,30.7592,31.931,32.3216,2026-02-20 10:08:00,2026-02-20 15:55:00,31.345,EOD,0.0587,0.11,1,10,0.82,8
CMCSA,2026-03-05,bear,A,0.7,32.4,31.82,1.823,31.825,31.84,0.047,31.8325,32.4324,31.0826,30.6327,2026-03-05 10:01:00,2026-03-05 15:55:00,31.565,EOD,0.2611,0.44,1,10,1.53,1
CMCSA,2026-03-09,bear,A,0.7,31.76,30.7703,3.216,30.73,30.755,0.081,30.7425,31.7918,29.4309,28.644,2026-03-09 10:07:00,2026-03-09 15:55:00,31.045,EOD,-0.3086,-0.29,0,10,0.76,7
CMCSA,2026-03-19,bull,A,0.7,29.25,28.75,1.739,29.235,29.255,0.068,29.245,28.7213,29.8997,30.2925,2026-03-19 09:50:00,2026-03-19 13:09:00,28.7213,STOP,-0.5296,-1.01,0,9,0.86,50
