ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
MSFT,2026-03-10,bear,A,0.7,410.2,404.24,1.474,404.11,404.3444,0.058,404.2272,410.6102,396.2485,391.4612,2026-03-10 10:03:00,2026-03-10 15:55:00,405.55,EOD,-1.4036,-0.22,0,10,1.21,3
MSFT,2026-03-12,bear,A,0.7,405.77,403.8501,0.475,403.37,403.4324,0.015,403.4012,406.1758,399.933,397.8521,2026-03-12 09:52:00,2026-03-12 15:55:00,402.1983,EOD,1.1222,0.4,1,9,0.57,52
MSFT,2026-03-20,bear,A+,0.85,387.0,383.44,0.928,382.83,382.87,0.01,382.85,387.387,377.1788,373.776,2026-03-20 09:50:00,2026-03-20 15:55:00,381.58,EOD,1.1934,0.26,1,9,0.52,50
