ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
NVDA,2026-03-12,bear,A,0.7,184.86,182.9201,1.061,182.97,183.01,0.022,182.99,185.0449,180.4214,178.8803,2026-03-12 09:55:00,2026-03-12 15:55:00,183.15,EOD,-0.1966,-0.1,0,9,1.09,55
NVDA,2026-03-13,bear,A,0.7,186.09,184.415,0.908,184.095,184.14,0.024,184.1175,186.2761,181.4193,179.8003,2026-03-13 10:02:00,2026-03-13 15:55:00,179.96,EOD,4.1207,1.91,1,10,1.18,2
NVDA,2026-03-17,bear,A,0.7,185.4,183.26,1.168,182.99,183.065,0.041,183.0275,185.5854,179.8301,177.9117,2026-03-17 09:58:00,2026-03-17 15:55:00,181.99,EOD,1.0009,0.39,1,9,1.08,58
NVDA,2026-03-18,bull,A,0.7,182.82,180.72,1.162,182.3301,182.38,0.027,182.3551,180.5393,184.6248,185.9866,2026-03-18 10:06:00,2026-03-18 15:51:00,180.5393,STOP,-1.8522,-1.02,0,10,0.74,6
