ticker,date,direction,grade,confidence,or_high,or_low,or_range_pct,fvg_low,fvg_high,fvg_size_pct,entry_price,stop_price,t1_price,t2_price,entry_time,exit_time,exit_price,exit_reason,pnl_pts,r_multiple,win,entry_hour,rvol,entry_minute
SPY,2026-03-09,bear,A,0.7,667.63,663.64,0.601,664.03,665.27,0.187,664.65,668.2976,660.0905,657.3547,2026-03-09 09:53:00,2026-03-09 10:58:00,668.2976,STOP,-3.7806,-1.04,0,9,0.93,53
SPY,2026-03-12,bear,A,0.7,671.65,669.88,0.264,670.16,670.2,0.006,670.18,672.3216,667.5029,665.8967,2026-03-12 09:47:00,2026-03-12 10:39:00,667.9043,STOP,2.1416,1.0,1,9,1.33,47
SPY,2026-03-16,bull,A,0.7,669.76,667.69,0.31,670.22,670.48,0.039,670.35,667.0223,674.5096,677.0054,2026-03-16 09:45:00,2026-03-16 15:55:00,669.0399,EOD,-1.4442,-0.43,0,9,1.16,45
SPY,2026-03-18,bear,A,0.7,669.56,667.88,0.252,666.73,667.21,0.072,666.97,670.2296,662.8956,660.4509,2026-03-18 10:14:00,2026-03-18 15:55:00,662.005,EOD,4.8316,1.48,1,10,1.34,14
SPY,2026-03-20,bear,A,0.7,656.55,654.65,0.29,653.34,653.62,0.043,653.48,657.2065,648.8218,646.0269,2026-03-20 09:56:00,2026-03-20 14:28:00,649.6228,STOP,3.7265,1.0,1,9,0.69,56
SPY,2026-03-23,bull,A,0.7,659.54,656.07,0.529,660.44,660.49,0.008,660.465,655.4139,666.7788,670.5671,2026-03-23 09:59:00,2026-03-23 12:23:00,655.4139,STOP,-5.1832,-1.03,0,9,0.54,59
