params,trades,wins,loss,wr,pf,pnl,avg_win,avg_loss
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'morning'}",184,55,129,29.891304347826086,0.743814737387354,-22.8918321428574,1.208449480519475,-0.6926864617940194
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'power'}",133,40,93,30.075187969924812,0.7810250027611062,-6.10378571428593,0.5442641071428482,-0.2997241935483856
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'all'}",1705,492,1213,28.856304985337246,0.7288267580248918,-102.93492500000059,0.5623091173054556,-0.31293570545283167
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'morning'}",175,52,123,29.714285714285715,0.7401971637988635,-22.1139321428574,1.211619230769225,-0.6920173344947732
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'power'}",128,38,90,29.6875,0.7894175769681412,-5.753985714285935,0.5676359022556297,-0.3036016666666651
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'all'}",1705,492,1213,28.856304985337246,0.7288267580248918,-102.93492500000059,0.5623091173054556,-0.31293570545283167
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'morning'}",175,52,123,29.714285714285715,0.7401971637988635,-22.1139321428574,1.211619230769225,-0.6920173344947732
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'power'}",128,38,90,29.6875,0.7894175769681412,-5.753985714285935,0.5676359022556297,-0.3036016666666651
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 20, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'all'}",1705,492,1213,28.856304985337246,0.7288267580248918,-102.93492500000059,0.5623091173054556,-0.31293570545283167
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 20, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'morning'}",175,52,123,29.714285714285715,0.7401971637988635,-22.1139321428574,1.211619230769225,-0.6920173344947732
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 20, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'power'}",128,38,90,29.6875,0.7894175769681412,-5.753985714285935,0.5676359022556297,-0.3036016666666651
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 20, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'all'}",1705,492,1213,28.856304985337246,0.7288267580248918,-102.93492500000059,0.5623091173054556,-0.31293570545283167
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 20, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'morning'}",175,52,123,29.714285714285715,0.7401971637988635,-22.1139321428574,1.211619230769225,-0.6920173344947732
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.0, 'lookback': 20, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'power'}",128,38,90,29.6875,0.7894175769681412,-5.753985714285935,0.5676359022556297,-0.3036016666666651
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'all'}",1949,501,1448,25.70548999486916,0.6956300809018674,-138.454210714286,0.6316042842885634,-0.31414914167324326
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'morning'}",190,51,139,26.842105263157894,0.7316613769406966,-25.699603571428653,1.3739887955182042,-0.6890146197327848
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'power'}",139,39,100,28.05755395683453,0.8227626416727496,-5.3131500000003875,0.6324217032966892,-0.2997759642857127
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'all'}",1949,501,1448,25.70548999486916,0.6956300809018674,-138.454210714286,0.6316042842885634,-0.31414914167324326
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'morning'}",190,51,139,26.842105263157894,0.7316613769406966,-25.699603571428653,1.3739887955182042,-0.6890146197327848
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'power'}",139,39,100,28.05755395683453,0.8227626416727496,-5.3131500000003875,0.6324217032966892,-0.2997759642857127
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'all'}",1949,501,1448,25.70548999486916,0.6956300809018674,-138.454210714286,0.6316042842885634,-0.31414914167324326
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'morning'}",190,51,139,26.842105263157894,0.7316613769406966,-25.699603571428653,1.3739887955182042,-0.6890146197327848
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'power'}",139,39,100,28.05755395683453,0.8227626416727496,-5.3131500000003875,0.6324217032966892,-0.2997759642857127
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'all'}",1949,501,1448,25.70548999486916,0.6956300809018674,-138.454210714286,0.6316042842885634,-0.31414914167324326
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'morning'}",190,51,139,26.842105263157894,0.7316613769406966,-25.699603571428653,1.3739887955182042,-0.6890146197327848
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 12, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'power'}",139,39,100,28.05755395683453,0.8227626416727496,-5.3131500000003875,0.6324217032966892,-0.2997759642857127
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'all'}",1827,479,1348,26.217843459222767,0.7380968524038809,-109.2213321428568,0.6426057262153276,-0.30936904673590404
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'morning'}",184,50,134,27.173913043478258,0.766204309694086,-21.459271428571576,1.4065431428571387,-0.6849733475479741
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'power'}",133,37,96,27.819548872180448,0.7791697941191568,-6.408510714286091,0.6111235521235376,-0.30229252232142695
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'all'}",1827,479,1348,26.217843459222767,0.7380968524038809,-109.2213321428568,0.6426057262153276,-0.30936904673590404
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'morning'}",184,50,134,27.173913043478258,0.766204309694086,-21.459271428571576,1.4065431428571387,-0.6849733475479741
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 16, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'power'}",133,37,96,27.819548872180448,0.7791697941191568,-6.408510714286091,0.6111235521235376,-0.30229252232142695
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'all'}",1827,479,1348,26.217843459222767,0.7380968524038809,-109.2213321428568,0.6426057262153276,-0.30936904673590404
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'morning'}",184,50,134,27.173913043478258,0.766204309694086,-21.459271428571576,1.4065431428571387,-0.6849733475479741
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'power'}",133,37,96,27.819548872180448,0.7791697941191568,-6.408510714286091,0.6111235521235376,-0.30229252232142695
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'all'}",1827,479,1348,26.217843459222767,0.7380968524038809,-109.2213321428568,0.6426057262153276,-0.30936904673590404
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'morning'}",184,50,134,27.173913043478258,0.766204309694086,-21.459271428571576,1.4065431428571387,-0.6849733475479741
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 16, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'power'}",133,37,96,27.819548872180448,0.7791697941191568,-6.408510714286091,0.6111235521235376,-0.30229252232142695
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'all'}",1705,447,1258,26.217008797653957,0.7465592611119283,-99.43163571428528,0.6552468200703085,-0.31186563138768936
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'morning'}",175,48,127,27.42857142857143,0.7771069823053227,-19.457001785714425,1.4132501116071392,-0.6873465129358829
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'power'}",128,35,93,27.34375,0.7858268016815118,-6.097485714286098,0.6392113265305969,-0.3061277649769569
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'all'}",1705,447,1258,26.217008797653957,0.7465592611119283,-99.43163571428528,0.6552468200703085,-0.31186563138768936
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'morning'}",175,48,127,27.42857142857143,0.7771069823053227,-19.457001785714425,1.4132501116071392,-0.6873465129358829
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 20, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'power'}",128,35,93,27.34375,0.7858268016815118,-6.097485714286098,0.6392113265305969,-0.3061277649769569
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 20, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'all'}",1705,447,1258,26.217008797653957,0.7465592611119283,-99.43163571428528,0.6552468200703085,-0.31186563138768936
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 20, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'morning'}",175,48,127,27.42857142857143,0.7771069823053227,-19.457001785714425,1.4132501116071392,-0.6873465129358829
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 20, 'momentum_filter': 'weak', 'trend_filter': False, 'time_filter': 'power'}",128,35,93,27.34375,0.7858268016815118,-6.097485714286098,0.6392113265305969,-0.3061277649769569
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 20, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'all'}",1705,447,1258,26.217008797653957,0.7465592611119283,-99.43163571428528,0.6552468200703085,-0.31186563138768936
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 20, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'morning'}",175,48,127,27.42857142857143,0.7771069823053227,-19.457001785714425,1.4132501116071392,-0.6873465129358829
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 2.5, 'lookback': 20, 'momentum_filter': 'weak', 'trend_filter': True, 'time_filter': 'power'}",128,35,93,27.34375,0.7858268016815118,-6.097485714286098,0.6392113265305969,-0.3061277649769569
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'all'}",1949,468,1481,24.01231400718317,0.712988850791377,-132.70813214285764,0.7044264499389471,-0.3122077722581261
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'morning'}",190,48,142,25.263157894736842,0.7222923170669254,-27.07444999999997,1.4670452380952372,-0.6865677565392349
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': False, 'time_filter': 'power'}",139,36,103,25.899280575539567,0.8897683884666766,-3.3756750000004274,0.7568833333333179,-0.2973152912621347
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'all'}",1949,468,1481,24.01231400718317,0.712988850791377,-132.70813214285764,0.7044264499389471,-0.3122077722581261
"{'volume_mult': 2.0, 'atr_stop_mult': 1.5, 'risk_reward': 3.0, 'lookback': 12, 'momentum_filter': 'none', 'trend_filter': True, 'time_filter': 'morning'}",190,48,142,25.263157894736842,0.7222923170669254,-27.07444999999997,1.4670452380952372,-0.6865677565392349
